Ref	Pos	Value	ReadCount	x	y
JN555585+	9117	0.0593832104685875	0	1	1.48197983413906e-19
JN555585+	9118	0.0289302820231668	0	2	4.44593950241641e-19
JN555585+	9119	0.0140177655163722	0	3	6.58173396926377e-19
JN555585+	9120	0.00675467457524968	0	4	6.58173396926377e-19
JN555585+	9121	0.00323661490064029	0	5	6.58173396926377e-19
JN555585+	9122	0.00154205212543595	0	6	3.84778293587757e-18
JN555585+	9123	0.000730445743627564	0	7	3.84778293587757e-18
JN555585+	9124	0.000343966514194905	0	8	5.55387536971017e-18
JN555585+	9125	0.000161005602389158	0	9	5.55387536971017e-18
JN555585+	9126	7.49063497746276e-05	0	10	5.55387536971017e-18
JN555585+	9127	3.46341187129952e-05	0	11	5.55387536971017e-18
JN555585+	9128	1.59129734627316e-05	0	12	5.55387536971017e-18
JN555585+	9129	3.63230915997041e-06	0	13	3.1677659516125e-17
JN555585+	9130	3.29488153308851e-06	0	14	3.1677659516125e-17
JN555585+	9131	1.48450706435825e-06	0	15	3.1677659516125e-17
JN555585+	9132	6.64337415541709e-07	0	16	3.1677659516125e-17
JN555585+	9146	6.64337415541709e-07	0	30	8.92734040908972e-17
JN555585+	9148	3.63230915997041e-06	0	32	8.92734040908972e-17
JN555585+	9149	3.29488153308851e-06	0	33	8.92734040908972e-17
JN555585+	9150	1.48450706435825e-06	0	34	8.92734040908972e-17
JN555585+	9151	6.64337415541709e-07	0	35	8.92734040908972e-17
JN555585+	9153	1.48450706435825e-06	0	37	2.48690197110351e-16
JN555585+	9154	1.48450706435825e-06	0	38	2.48690197110351e-16
JN555585+	9155	6.64337415541709e-07	0	39	2.48690197110351e-16
JN555585+	9156	6.64337415541709e-07	0	40	2.48690197110351e-16
JN555585+	9243	5.80767555031867e-06	28	127	5.02872248553516e-15
JN555585+	9244	3.42611979114768e-06	121.583335876465	128	5.02872248553516e-15
JN555585+	9251	8.92943560787461e-07	18	135	5.02872248553516e-15
JN555585+	9252	2.48101125085179e-06	13	136	5.02872248553516e-15
JN555585+	9253	4.84965458518653e-06	18	137	5.02872248553516e-15
JN555585+	9254	7.40050125292835e-06	5	138	5.02872248553516e-15
JN555585+	9255	7.40050125292835e-06	16	139	5.02872248553516e-15
JN555585+	9256	6.45703741691513e-06	9	140	5.02872248553516e-15
JN555585+	9257	7.40050125292835e-06	18	141	5.02872248553516e-15
JN555585+	9259	1.45356990862032e-06	17	143	5.02872248553516e-15
JN555585+	9260	6.91266816783884e-06	19	144	5.02872248553516e-15
JN555585+	9261	1.59041241241983e-05	13	145	5.02872248553516e-15
JN555585+	9262	8.44358410582559e-06	14	146	5.02872248553516e-15
JN555585+	9263	0.000143973436662743	5	147	7.26302908996723e-15
