Ref	Pos	Value
JN555585-	32775	0.9503692323753996
JN555585-	114708	0.9643760903692788
JN555585-	65561	0.9573556626915063
JN555585-	16409	0.9928044986957963
JN555585-	114716	0.9503692323753996
JN555585-	114719	0.9503692323753996
JN555585-	81962	0.9573556626915063
JN555585-	65581	0.9643760903692788
JN555585-	65584	0.9643760903692788
JN555585-	114739	0.9364970577938422
JN555585-	131131	0.9503692323753996
JN555585-	81979	1.5493385910904351
JN555585-	114749	0.8624964763500651
JN555585-	131134	0.9503692323753996
JN555585-	98371	0.98564470712293
JN555585-	65604	0.9643760903692788
JN555585-	81988	0.9503692323753996
JN555585-	32838	0.9714308479032291
JN555585-	98374	0.98564470712293
JN555585-	131150	0.9434164717336324
JN555585-	98380	0.9785202726895487
JN555585-	131149	0.9434164717336324
JN555585-	82007	0.9364970577938422
JN555585-	131169	0.9227570011675397
JN555585-	131175	0.9227570011675397
JN555585-	82032	0.9364970577938422
JN555585-	65651	0.9643760903692788
JN555585-	65650	0.9643760903692788
JN555585-	114809	0.8236772274595371
JN555585-	16506	0.9785202726895487
JN555585-	114811	0.8236772274595371
JN555585-	131214	0.8889686877112559
JN555585-	114839	0.8365012678171205
JN555585-	131220	0.8889686877112559
JN555585-	114838	0.8365012678171205
JN555585-	114845	1.434402824245775
JN555585-	114844	1.434402824245775
JN555585-	114847	1.855953630483293
JN555585-	114848	2.1844245712374275
JN555585-	114851	1.4409161312044494
JN555585-	114850	1.4409161312044494
JN555585-	131239	0.8889686877112559
JN555585-	114857	0.8494403235246186
JN555585-	82088	0.929610672208602
JN555585-	82093	0.9364970577938422
JN555585-	114861	1.4409161312044494
JN555585-	98476	0.9364970577938422
JN555585-	32943	0.9573556626915063
JN555585-	32946	0.9573556626915063
JN555585-	16567	1.5353317330965561
JN555585-	114870	0.8494403235246186
JN555585-	131258	0.8690691302735514
JN555585-	82107	0.9159357353115254
JN555585-	131267	0.8690691302735514
JN555585-	98499	0.9434164717336324
JN555585-	131264	0.8690691302735514
JN555585-	98503	0.9434164717336324
JN555585-	82127	0.9227570011675397
JN555585-	32980	0.9503692323753996
JN555585-	82133	1.5145731729297582
JN555585-	82134	0.9227570011675397
JN555585-	65753	1.5706072078440863
JN555585-	65755	0.9785202726895487
JN555585-	98528	0.9434164717336324
JN555585-	32996	1.528378972454789
JN555585-	131306	0.8624964763500651
JN555585-	82159	0.9091465696488865
JN555585-	131314	0.8559536304832931
JN555585-	131312	0.8559536304832931
JN555585-	131313	1.4474589770712212
JN555585-	65785	0.9785202726895487
JN555585-	98557	0.9434164717336324
JN555585-	49408	0.8956633402852644
JN555585-	49409	2.237863830198888
JN555585-	33026	1.528378972454789
JN555585-	98562	0.9434164717336324
JN555585-	98564	0.9434164717336324
JN555585-	98567	0.9434164717336324
JN555585-	98569	0.9434164717336324
JN555585-	16653	0.8756718650977982
JN555585-	49423	0.8956633402852644
JN555585-	131341	0.4907264309753907
JN555585-	49425	0.8889686877112559
JN555585-	16660	0.8756718650977982
JN555585-	16661	0.8756718650977982
JN555585-	16662	0.8756718650977982
JN555585-	82203	0.9227570011675397
JN555585-	16667	1.4672674581514016
JN555585-	33052	0.9434164717336324
JN555585-	114973	0.9227570011675397
JN555585-	82204	0.9227570011675397
JN555585-	16670	0.8889686877112559
JN555585-	49438	0.8889686877112559
JN555585-	82207	0.9227570011675397
JN555585-	16678	0.8756718650977982
JN555585-	49453	0.8889686877112559
JN555585-	131378	0.4839848530963352
JN555585-	82231	0.9364970577938422
JN555585-	33092	0.9364970577938422
JN555585-	82246	0.9573556626915063
JN555585-	33096	0.9364970577938422
JN555585-	49481	1.8889686877112561
JN555585-	16717	1.4540316309947077
JN555585-	16721	0.8624964763500651
JN555585-	82256	0.9573556626915063
JN555585-	16723	2.473931188432412
JN555585-	115030	0.8559536304832931
JN555585-	49497	1.4672674581514016
JN555585-	49499	0.8756718650977982
JN555585-	49500	0.8756718650977982
JN555585-	131426	0.4974996595708169
JN555585-	16737	0.8624964763500651
JN555585-	131427	4.554508704279442
JN555585-	131430	4.109267211668688
JN555585-	115046	0.8559536304832931
JN555585-	131429	6.431081771099874
JN555585-	115053	1.4474589770712212
JN555585-	115052	1.4474589770712212
JN555585-	115057	0.8559536304832931
JN555585-	115058	0.8559536304832931
JN555585-	49524	0.9159357353115254
JN555585-	33145	0.9573556626915063
JN555585-	115069	0.8365012678171205
JN555585-	98684	0.7858751947471527
JN555585-	115073	1.4279187906755764
JN555585-	33153	0.9643760903692788
JN555585-	98691	1.3584539710124766
JN555585-	98692	1.3584539710124766
JN555585-	98695	0.7551129409764654
JN555585-	16775	1.4806258410064208
JN555585-	115078	0.8429562899544201
JN555585-	98697	2.0954195651786827
JN555585-	33162	0.9573556626915063
JN555585-	98699	0.7551129409764654
JN555585-	115089	2.1844245712374275
JN555585-	115091	0.8429562899544201
JN555585-	98706	1.7612131405128835
JN555585-	115092	1.434402824245775
JN555585-	65943	1.5353317330965561
JN555585-	49564	0.9364970577938422
JN555585-	115106	0.8173077025838096
JN555585-	49575	0.9364970577938422
JN555585-	16811	1.4672674581514016
JN555585-	33199	0.9364970577938422
JN555585-	65968	0.9434164717336324
JN555585-	115120	0.7673392433097249
JN555585-	98748	0.6954889582900471
JN555585-	98754	0.6665762663748082
JN555585-	98757	0.6665762663748082
JN555585-	98756	1.257275136645109
JN555585-	98759	0.649502753015867
JN555585-	98758	0.6551715031025588
JN555585-	16840	0.9364970577938422
JN555585-	98761	1.240134003823715
JN555585-	65992	0.9434164717336324
JN555585-	98763	1.240134003823715
JN555585-	98764	1.240134003823715
JN555585-	98766	1.240134003823715
JN555585-	66001	0.9434164717336324
JN555585-	16850	1.528378972454789
JN555585-	98771	0.649502753015867
JN555585-	66002	0.9434164717336324
JN555585-	131542	0.9503692323753996
JN555585-	66007	1.5353317330965561
JN555585-	115160	0.8046524017777809
JN555585-	115162	0.8046524017777809
JN555585-	98780	0.6438561898747247
JN555585-	115164	0.8046524017777809
JN555585-	82398	0.742989381893976
JN555585-	98782	0.6438561898747247
JN555585-	98784	0.6438561898747247
JN555585-	98788	0.6438561898747247
JN555585-	33254	0.8889686877112559
JN555585-	98791	1.234465253737023
JN555585-	98795	1.257275136645109
JN555585-	66029	0.9434164717336324
JN555585-	82413	0.742989381893976
JN555585-	82412	0.742989381893976
JN555585-	98802	0.7013416845354847
JN555585-	131572	0.9714308479032291
JN555585-	98808	1.3099554533212865
JN555585-	82427	1.3040061869900998
JN555585-	115195	0.8756718650977982
JN555585-	82426	0.7131188523118386
JN555585-	115199	1.4672674581514016
JN555585-	115201	0.8756718650977982
JN555585-	82432	0.6780719052126378
JN555585-	98819	0.7013416845354847
JN555585-	16899	1.5353317330965561
JN555585-	33284	0.8046524017777809
